Title,Name,Review Date,Airline,Verified,Reviews,Type of Traveller,Month Flown,Route,Class,Seat Comfort,Staff Service,Food & Beverages,Inflight Entertainment,Value For Money,Overall Rating,Recommended
a poor experience,W Rook,2020-02-15,Air France,True,"  Tokyo to Birmingham via Paris CDG with Air France. Very average. Seat uncomfortable, old and shabby. Clearly showing its age. Leg room and recline ok. Inflight entertainment, very aged, poor interface, tiny screen, and poor selection of films and TV. No plug on the seat, and only a USB2 slot. Food, good selection, main meal and breakfast nice, good selection of snacks throughout. Minimal alcohol available outside of meal service. Airport: CDG full of rude staff. Overall a poor experience, rescued only by the fact that it was a pretty cheap flight.",Couple Leisure,February 2020,Fort de France to Paris,Economy Class,4,1,5,5,4,3,no
were indifferent to me,R Nagyin,2020-02-15,Air France,True,"  Mumbai to Frankfurt via Paris. Rude staff who were indifferent to me. Distributed snacks to random seats and omitted the rest. Onward journey welcome beverages and mail meal were served at the same time.  Return journey: Snacks were  skipped. Breakfast was the main meal, and cabin crew collecting the trash 15 minutes after serving. Seats were extremely tight. Calls for drinking water when going out from window seat was very challenging and went unanswered. My food was minimal. Toilet lacked hand disinfectant and hand moisturiser. Online check in  was slow, and took me nearly 1.5 hours to check-in after at least 6 attempts. Paris- Frankfurt was worse, and the food included warm beverage and 2 biscuits or a croissant",Solo Leisure,February 2020,Hamburg to Paris,Economy Class,1,4,3,4,1,1,no
not award me mileage points,J Tanner,2020-02-09,Air France,True," Copenhagen to Buenos Aires via Paris CDG. My Lufthansa Business Class flight from CPH was delayed, so they  transferred me to Air France, so I could still make a flight to Buenos Aires. Of course, Air France was paid by Lufthansa for this. Now Air France says they will not award me mileage points because I originally booked on Lufthansa. So Air France claims that Lufthansa should award me miles! ",Business,January 2020,Amsterdam to Paris,Business Class,2,1,3,3,1,1,no
Very uncomfortable seats,A Balede,2020-02-09,Air France,True,"  Fort de France to Paris. 8.5 hours flight on a 13 year old Boeing 777 (F-GSQR). The personnel was courteous and professional but they could not make up for my miserable experience. Very uncomfortable seats, little to no space for the legs and for the shoulders, plastic head rest that makes you sweat your neck. AC barely working, it’s been hot the whole flight. Entertainment system with a screen that was slow, sluggish. No outlet or USB port to recharge your device.  My food was low/average in quality.  My partner is pregnant (6th month) and there was no possibility to select another more comfortable seat for her, there is no correspondence between the service received and the price paid, which is premium.",Couple Leisure,February 2020,Dubai to Paris,Economy Class,5,5,1,2,1,2,no
Very nice flight!,Marco Palzkill,2020-02-06,Air France,True,"  Hamburg to Paris. Very nice flight! Staff was very friendly despite the early morning hour. Staffs languages (French, English, German, Spanish) were openly announced. Aircraft had Wifi based entertainment on board running in the browser, surprisingly large movie selection. Onboard internet was available, messaging for free!!, other options were reasonable priced. French Breakfast was served (aka Croissants), with some very nice Lavazza Coffee. During the early morning flights the lights were kept turned off so wanting to find some sleep was very easy. All in all a really surprisingly decent short haul flight!",Couple Leisure,February 2020,Bologna to Johannesburgvia Paris,Economy Class,3,1,3,4,4,8,yes
very friendly and classy,R Berkson,2020-02-01,Air France,True,  Amsterdam to Paris. A short flight but with full service. Both ground staff as well as on onboard staff was very friendly and classy. Snacks and drinks were handled with care. Seats are very comfortable for economy class but pitch is very tight. Unfortunately the USB charging ports didn't work. We arrived in Paris without delays and the captain kept us well informed.,Solo Leisure,January 2020,Toronto to Paris,Economy Class,4,3,3,3,5,8,yes
no room to breathe,Joseph Williams,2020-01-30,Air France,False," Dubai to Paris. I was not given the option to reserve my seat, now I'm stuck in the middle seat with no room to breathe. I would definitely rate this flight zero stars. Never had this issue with Delta or Emirates.",Solo Leisure,January 2020,Prague to Cape Town via Paris,Economy Class,5,3,4,1,1,10,no
I will recommend Air France,Johan Van Tonder,2020-01-28,Air France,True,  Bologna to Johannesburg via Paris. The staff of air France are the most compassionate people I've dealt with on an aircraft. They are focused on Customer comfort. I will recommend Air France.,Business,January 2020,Toronto to Paris,Economy Class,1,5,5,4,5,10,yes
My disappointment is with the food service,Elizabeth Hagell,2020-01-27,Air France,False,"  Flew from Toronto to Paris. Overall quite nice. My first time flying business class. Loved the pods - very private, nice amount of storage space too. My disappointment is with the food service. I ordered a lacto-ovo vegetarian meal service. Instead of the requested meal, I was given vegan meals. They were poor, curry seems to be the flavor of choice. I like a good curry but not at every meal. The supper menu was even worse. I received a bowl of steamed vegetables (a couple of carrots, some potatoes and some other unidentifiable vegetable with a heavy dose of rosemary). It was inedible. I returned it and filled up with bread and cheese. I am not sure why a lacto-ovo meal was not available. I am a foodie and pay a lot of attention to what I eat. The poor quality of the special meal will make me rethink flying on Air France in the future.",Solo Leisure,January 2020,Paris to Chicago,Business Class,1,2,5,3,2,5,no
never fly with them again,Nadia Heye,2020-01-23,Air France,True,"  Prague to Cape Town via Paris. Very disappointed. My first flight arrives late and I had to run to even catch my plane. The flight was ok, very friendly staff, but my food was not nice When I arrived in Cape Town it turned out that my baggage had been left behind in Paris. I was told by airport staff that I would not get compensated for anything I needed to buy. My baggage was brought to me 3 days after I landed and it had been emptied out.  I have been trying to get in touch with Air France and no one is answering. Will never fly with them again.",Solo Leisure,January 2020,Paris to Madrid,Economy Class,4,2,1,4,1,1,no
pour myself a glass of water,S Malston,2020-01-23,Air France,True,"  Toronto to Paris. Brand new plane, very nice screens and everything was clean. Service not so much. Flight attendant was rude to me. I was in the middle seat and I didn't want to bother the people sitting next to me. So in the middle of an 8 hours flight, I called a flight attendant and asked for a glass of water. His response was  ""we're not serving now! The cart is in the back of the plane"", like he was annoyed I even called him. So I had to wake up people sitting next to me and go to the back and pour myself a glass of water. I'll never fly Air France again.",Solo Leisure,December 2019,Paris to Prague,Economy Class,1,2,3,2,1,3,no
"attentive, courteous service",H Warlen,2020-01-17,Air France,True,"  Paris to Chicago. Very attentive, courteous service in flight by the cabin crew on AF 0136. I wish our US domestic carriers could follow suit I highly recommend Air France.",Business,January 2020,Johannesburg to Paris,Business Class,3,4,2,4,4,8,yes
not correspond to business class,E Valkilev,2020-01-16,Air France,True,"  Paris to Madrid. The product does not correspond to business class. The seats are the same as in the economy, the distance for the legs is not increased, the middle chair does not even transform into a table. The food is scarce and tasteless - two cold starters, a slice of cheese and a little chocolate bar. The staff responds to requests, but they are not particularly willing to do so. Wines in small bottles on a screw cap; champagne is not bad. This class of seating should at best be called premium-economy, if not Economy at all with slightly improved nutrition, but not business at all. Продукт совершенно не соответсвует бизнес-классу. Сидения такие же как в экономе, расстояния для ног не увеличены, среднее кресло даже не трансформируется в столик. Еды мало и невкусная - две холодные закуски, кусочек сыра и маленькая шоколадка. Персонал отзывается на просьбы, но делают это не особо охотно. Вина в маленьких бутылочках на винтовой крышке , шампанское неплохое. Этот класс обслаживания в лучшем случае должен называться premium-economy, если вообще не Economy с чуть улучшенным питанием, но никак не бизнес",Solo Leisure,January 2020,Birmingham to Hong Kong via Paris,Business Class,1,5,1,1,1,2,no
checked size and weight of cabin bags,Pavel Nemecek,2020-01-09,Air France,True,"  Paris to Prague. First of all the passengers are checked for size and weight of cabin bags before security control. The flight was on time, we received small sandwich and a beverage, crew was nice. There was a wifi with free message pass which is great. However after arrival I found out that my cabin bag which I was forced to check-in came ripped which is unacceptable.",Solo Leisure,December 2019,Montreal to Paris,Economy Class,1,4,4,1,3,6,yes
we wanted to change our route,Nadia Ferreira,2020-01-06,Air France,True,  Johannesburg to Paris. Staff were most unfriendly to me. They forgot to serve me and my daughter dinner. And when we wanted to change our route they resisted our request in an unfriendly way. ,Family Leisure,January 2020,Munich to Lyon via Paris,Business Class,1,1,2,2,1,3,no
a terrible experience,W Benson,2020-01-04,Air France,True," Birmingham to Hong Kong via Paris. I booked a flight with Air France, a return flight from Hong Kong to Birmingham. I was unable to fly on the outbound flight as I had flown to Europe a few days earlier on a Business Trip. I informed the airline of this (Air France), stating that I still intended to take the inbound (return) flight from Birmingham to Hong Kong. I arrived at the airport for the inbound (return) flight as per my itinerary, only to be told by the Air France staff that my flights had been cancelled and I would be unable to fly unless I paid a 500 Euros administration charge to get my flights reinstated. Air France had not informed me that my flights had been cancelled at any point, despite numerous correspondences during the prior month. I then had to pay a significant amount of money to fly on a flight that I had already paid to fly on. It caused me an incredible amount of distress and embarrassment as well as the obvious personal financial cost. To make matters worse, I was treated exceptionally badly by the Air France staff at Birmingham airport. Why was I not notified that my full journey had been cancelled because of not taking the outbound flight? All in all, a terrible experience.",Solo Leisure,January 2020,Paris to Milan,Economy Class,5,1,2,2,1,1,no
impressed by the service,Hugo Talbert,2020-01-01,Air France,True,"  Montreal to Paris in July 2019. Very nice moment  with Air France. I impressed by the ground/onboard service, the real plus of Air France. The only bad point i think is the Wifi, which is only on Boeing 787. ",Solo Leisure,July 2019,Milan to Houston via Paris,Economy Class,1,4,4,2,4,9,yes
All four flights were good,S Tegtmeier,2019-12-28,Air France,True,"  Munich to Lyon and Lyon to Frankfurt via Paris CDG. Booking on AF website was quite easy. Check in at Munich and Lyon very quick and got help from nice check in staff. 3 of 4 flights were slightly delayed, but captain informed passengers about that. All four flights were good, with professional cabin crew and free snacks/drinks. Seat and cabin were ok, but area around my seat could have been cleaner. Transfer at Paris was fast and easy. Can't understand the mass of negative reviews about CDG airport, signage is very clear and transfer from Terminal 2F (arrival from Lyon) to 2G (departure to Frankfurt) took only 20 minutes. Nice architecture and relaxed atmosphere at the airport, but Terminal 2F was a bit overcrowded. I can remmomend Air France and would book again.",Solo Leisure,October 2019,Paris to Nairobi,Economy Class,1,2,2,4,4,8,yes
the worst experience,Craig Annandale,2019-12-28,Air France,True," Paris to Milan. We upgraded to a Business Class ticket to fly at 12.25. Arrived at terminal 2F as we were running later than scheduled due to Taxi running out of fuel. Asked the attendant for assistance (showing our boarding passes) who pointed out the self-check-in computers. We stood there trying to figure the machines out then finally found someone to assist us. We got pointed to wait in the normal luggage drop off. Again when we asked for help as we were under time pressure we got assured by a man that we still had time who then pointed us down the other end. After exaplining to another lady down the end, she told us to wait and another lady will take care of us - this woman was very rude and continued to serve other passengers making us wait 5-10 mins before telling us that it’s not her problem we are late and that we have missed the luggage check in. We then got referred to her supervisor who explained we had missed the deadline, and that we could be put on a later economy flight (and be refunded the business difference) or wait 9 hours for business class. We opted for economy and the earlier flight. She then referred us to ticketing who told us we had to pay for new tickets. Then we got sent back and forward. End story is we had to pay more than our original ticket price and flew economy. This would have been avoided had the initial attendee pointed us to business class check-in. This has to be the worst experience and I would never fly with Air France again.",Business,December 2019,Paris to Dubai,Economy Class,1,2,4,2,1,1,no
flights were okay as usual,Roberto Barbato,2019-12-28,Air France,True,  Milan to Houston via Paris. The flights were okay as usual but my luggage arrived to Houston destroyed. I saw no Air France agents in the arrival. I took my luggage directly home and filled a claim form. I got an email with no case number or reference saying that I will get an answer in 2 weeks or little longer. Nothing happened after one month and I contacted customer services .. and they told me to re-fill the claim. I did on November 11 and I got another email identical to the previous one.,Couple Leisure,October 2019,Miami to Paris,Economy Class,4,3,3,4,2,2,yes
only allows 1 hand luggage,M Karune,2019-12-26,Air France,True,"  Paris to Nairobi. We arrived in Paris from Atlanta with Delta and while connecting to Nairobi we were stopped and asked to weigh our hand luggage.  They confirmed the airline only allows 1 hand luggage. To add on it has to be 12kgs and not more. We had laptops, a few clothes for changing and the gifts from duty free, everyone was over 12 kgs. They forced us to throw them away because they would not let us check them in. They claimed the baggage doors were closed so no more bag check in. ",Couple Leisure,December 2019,Paris to Seattle,Economy Class,4,1,4,2,1,1,no
no one responds to me for a week,Ke Tang,2019-12-25,Air France,True,"  The top of my bag was sheared off, the side has some kind of black tar or fuel melted on it that prevents the zipper from opening. My contents were practically spilling out on the baggage belt. When I filed a claim at the airport office, they told me I had to call by phone the next day. When I called the next day they said my claim number didn’t exist, so I had to start a new one. I explained that I’m currently in Afghanistan, but they insisted that I have to get a repair technician to examine the damage on my bag before a compensation decision could be made, which is impossible since I live on a military base. I was then told to submit a claim over email to customer service. I do so, and no one responds to me for a week. I’m then told that I have to call customer support in my home country. I’ve tried to reach them 4 times, each time I wait over 30min and never get connected.",Solo Leisure,December 2019,Paris to Cancun,Economy Class,4,1,5,3,2,2,no
delayed by 15 minutes,Neville Roman,2019-12-25,Air France,True,"  Miami to Paris. The 9 year old A380 looked dirty to me, a funky smell, dusty and ragged carpet. I was seated at emergency exit and my seat had limited recline. Also the flight arrival into Paris was delayed by 15 minutes. ",Couple Leisure,December 2019,Paris CDG to New York JFK,Premium Economy,3,5,1,5,2,4,no
My food was terrible,William Kaiser,2019-12-23,Air France,True,"  Paris to Seattle. My food was terrible and the amount of drinks and snacks for a 8 hour flight was  lacking. We flew delta going to Paris and it was a night and day difference, the flight attendants were rude. KLM was so much better from the point of customer service.",Family Leisure,December 2019,"Prague to Paris via Washington, D.C.",Economy Class,3,5,3,2,1,2,no
poor customer service,M Sahlam,2019-12-23,Air France,True,"  Paris to Cancun. I am disappointed by the poor customer service. My outbound flight was missed due to no reason of my own, the airline staff were lovely and understanding at the airport desk, however the customer service helpline was disgusting.  I was eventually provided a return ticket free of charge as a goodwill gesture. My food onboard was terrible. I did not eat much apart from a muffin. My seat were uncomfortable, and my tv screen was broken. I submitted a complaint upon my arrival and had no response.",Solo Leisure,November 2019,Detroit to Paris CDG,Economy Class,1,5,3,2,1,1,no
B777 is fine but I prefer the A380,Christopher J Skelton,2019-12-15,Air France,True," I chose to fly from Paris to New York via Air France because they were using the A380. However, after booking, the flight was changed to a B777. I had an overweight suitcase and a small suitcase to check. I paid 80€ for the second case which I could have taken into the cabin. When I got to checking in they weighed my large case and it was over 23kg. So I asked if I could take the small case into the cabin and use the 80€ to pay for the overweight case. The agent said she would check both and I would not have to pay another 80€. Arriving in NY my large case was nowhere to be found and after going to the AF desk it was determined that it did not get on the flight as the agent hadn't properly activated it. AF put it on the next flight and it was delivered to my my residence the next day. The flight was pleasant - I was in seat 39A which is at a bulkhead so it had lots of leg room. Entertainment and food were fine. We arrived at JFK early so we could not get a gate for almost an hour. The B777 is fine but I prefer the A380.",Solo Leisure,November 2019,Paris to Tokyo,Economy Class,2,3,5,1,4,7,yes
Air France does not care about their customers,K Novak,2019-12-12,Air France,True," I am very disappointed with Air France service and customer support and would convince everyone to avoid this airline in future. It was not possible to reach support via phone (support line was not even posted on their website, moreover no one responded), or official app. Help desk was closed, though it should have been opened according to the opening hours. I contacted help via app to find out where other help desks were located in CDG airport, but I was denied to obtain any answer, I was told to find out it myself. My flights were delayed due to the strike in Paris, and it turned out once in trouble Air France does not care about their customers, and holders of Flying Blue loyalty program. I obtained new ticket for flight to Washington next day, but obtained no hotel to stay because of delay. Also quality of service and seats onboard was poor. Avoid CDG airport and Air France if you can!",Business,December 2019,Paris to Buenos Aires,Economy Class,2,5,2,4,5,1,no
surprised to discover how uncomfortable the seats were,A Galiani,2019-12-12,Air France,True," Disappointing experience in Air France Premium Economy. The arriving plane was delayed inbound due to mechanical problems and then had further mechanical problems resulting in more delays leaving Detroit. Gate agents did a reasonable job of keeping everyone informed. I had read poor reviews of the Premium Economy seating and was still surprised to discover how uncomfortable the seats were. They do not really recline but slide forward and finding a comfortable seating position was difficult. My wife did better since she is shorter but at almost 6ft I could not get comfortable in the seats at all. Footrest was basically useless. I managed to make the seat a bit more bearable by sitting on the folded blanket and the pillow provided on the seat. The ""inspired gourmet meal"" per the AF website was the same as regular economy and not that inspiring. The appetizer ""inspired by the Business Class menu"" was a meat pate that really didn't pair well with a vegetarian meal. The ""chilled oshibori towel"" was missing, replaced by a wet wipe tossed on the tray table. Service was minimal and indifferent with the crew disappearing right after the meal was served - there were no water runs or crew service for the majority of the flight. In general, the flight experience reflects what seems to become the norm. However, the Premium Economy hype on the Air France website raises unrealistic expectations. This flight was a code share with Delta and the Delta service on the Delta return flight was significantly better. All in all, the Air France Premium Economy product is poor and not a good value for money.",Couple Leisure,November 2019,Paris to New York,Premium Economy,2,3,4,4,1,4,no
Overall a perfect flight,Tony Hall,2019-12-07,Air France,True,"  Overnight flight from Paris to Tokyo. Departure and arrival were punctual. Boeing 777 with what I believed to be the latest seating. The seat was well-designed giving me a fair amount of privacy. Food, wine and IFE choice were excellent. The FAs were very friendly and attentive (some might have found them too friendly but I appreciated it). Overall a perfect flight. I could not fault it in any way.",Solo Leisure,November 2019,Salt Lake City to Istanbul via Paris,Business Class,3,2,4,1,5,10,yes
treat passengers in very bad manner,Andrija Vrbic,2019-12-04,Air France,True,"  I flew with Air France from Paris to Buenos Aires. They managed to lose my bag in Paris, which I discovered in Buenos Aires. After I filled a complaint they identified my bag, but don't want to send it to me. Air France is very impolite in communication and they treat the passengers in very bad manner. I wound not recommend that company to no one.",Family Leisure,November 2019,Aberdeen to Lisbon via Paris,Economy Class,1,2,5,3,1,1,no
unforgiving with baggage allowance,O Rivera,2019-12-03,Air France,True,  Paris to New York. Air France is very rigid and unforgiving with the carry on baggage allowance. They weigh the 2 carry ons that you’re allowed and will be coerced to check in the luggage if both weighs over 10kG for 50 euros a pop. Simply put it’s the same carry on I had and a little bit lighter because I disposed of some gifts and toiletries on my way back but I flew in via Delta. I will never fly Air France if given any choice.,Family Leisure,December 2019,Paris CDG to New York,Economy Class,5,1,3,5,1,1,no
they are changing my flight,Ali Reza,2019-11-28,Air France,True,  Salt Lake City to Istanbul via Paris with Delta / Air France booked for December 2019. I have my ticket for Istanbul which I got it 3 months ago and I paid full amount not they are changing my flight info which I planned for since 3 months ago and I called them and they did not provide any adjustment and they are expecting me to cancel my entire trip which I planned 3 months ago. This is the first and last time I will fly with Air France. ,Family Leisure,November 2019,Stockholm to Biarritz via Paris,Economy Class,5,3,4,5,1,1,no
crew very friendly and polite,Manuel Vieira,2019-11-26,Air France,True,"  Flight from Aberdeen to Lisbon via Paris, both flights were more or less on time. Air France lounge is Paris is rather nice although really busy. The crew was very friendly and polite in both flights. The only thing I would criticise was the meal on the flight between Paris and Lisbon. That cold meal was totally uninspired.",Business,October 2019,Bogotá to Paris,Business Class,5,5,1,4,5,8,yes
made me weigh my carry-on bag,A Tarovic,2019-11-26,Air France,True,  Poor customer service and they just don’t care. Flew JFK to CDG with no issues but on return trip before entering passport control they made me weigh my carry-on bag which was 12kg. They then made me add my personal item (backpack with computer) to the scale and told me I was overweight and needed to check my bag. Very rude and unprofessional. Charged me €50 to check a carry on size bag that has been all around the world on dozens of airlines. Will not fly Air France again and neither should you!,Couple Leisure,November 2019,Manchester to Miami via Paris,Economy Class,3,5,3,1,1,1,no
unprofessional to overbook flights,S Parker,2019-11-22,Air France,True,"  My flight was overbooked from Stockholm to Biarritz via Paris. I was not aware of this until I was dropping off my bag. They told me I had to go to the boarding gate and they would send my bag to paris for me to get later. When i got to boarding gate after everyone was boarded they told me that there were no seats available. When I asked how this could happen it was stated ""It is just the airline."" I then was walked by a staff member to a baggage collection area where i was told to get my bag and then go to information desk. This was after being told i would pick up my bag at a later time in France. I waited at the conveyor belt which had stopped running and then noticed my bag next to a man on the other side of the area. After getting back my bag i found the information desk where they booked me a hotel for the night and gave me compensation. However, I did not feel the situation was handled well being passed between multiple staff members and being given poor instructions. I asked for a pen to write down my bus stop, bus time and hotel name. The staff member said no and handed me a piece of scrap paper with random information sprawled across it. With BW, 7, 17 and 37. BW for. Best Western, 7 for bus stop and 17 and 37 for the minute the bus came every hour. I was not given a booking confirmation for the hotel and everything i should have automatically been given such as confirmation of compensation I had to ask for specifically. There were other people in the same situation as me with Air France.  If a flight has been overbooked it needs to be established and fixed with the customer before the day of the flight. Today i flew from Biarritz to London with a stop in Paris. My bag has been left in Paris and the flight was delayed. People have deadlines, other flights and events they need to attend. It is totally unprofessional to overbook flights when people are paying money for a seat and to put to flights so close together when you can't even get the baggage on the connecting flight.",Solo Leisure,November 2019,Paris to Beirut,Economy Class,4,4,2,3,2,1,no
enjoy flying with Air France,M Gordon,2019-11-19,Air France,True," Bogotá to Paris. Air France business class is excellent! I flew from Bogotá to Paris, flight attendants were very attentive, friendly and professional. The full flat bed seats are very comfortable, I slept almost during the entire flight. Food was good (food is amazing when flying from Paris). The Inflight entertainment is great, many movies (old and recents ones) Totally enjoy flying with Air France.",Business,October 2019,Paris to Calgary,Business Class,3,1,5,1,5,10,yes
crews on both legs were excellent,Kevin Tunnicliffe,2019-11-10,Air France,True,"  Manchester to Miami via Paris. It's a long time since I last flew Air France and that was because the crew attitude, seats, food and IFE left a great deal to be desired for the price paid. This flight did little to change my view except in one, important respect and that was the cabin crew. The flight from MAN to CDG was the normal, awful, offering you get from most European airlines these days. 3x3 economy seating on an old airbus narrow body with the middle seat left empty. The experience of CDG was as bad as I recall. The flight to Miami was on an old layout 2x2x2 in business class with angled flat seats. For 2019 and a 10-hour flight this was not acceptable. The only rays of sunshine were, the fact that this was a day flight so the ""bed"" was not too important and the cabin crew. Far from the surly, self-absorbed individuals I had seen in the past the Air France crews on both legs were excellent and as good as any other airline in my experience. Interaction with passengers was friendly but professional and they clearly knew their jobs and the aircraft thoroughly. The food on the flight to Miami was mediocre and barely edible.",Couple Leisure,October 2019,Manchester to Tbilisi via Paris,Business Class,2,4,3,4,2,4,no
been extremely frustrating,S Mahnir,2019-11-03,Air France,True,"  I booked a flight from Paris to Beirut and because of the political issue, they said the ticket was fully refundable in voucher. After completing numerous online forms, endless follow up phone calls, they refunded a 718 Euro ticket as 84 Euros. Each customer service representative pawns me off to another member of their team including Saudi Arabia (nothing to do with my location or my ticket). I have spoken with at least 15 people in the process, and yet, I have still lost my money. It's been extremely frustrating and such a waste of time. If I knew this would happen I would never ever have considered AF. ",Solo Leisure,October 2019,Aberdeen to Dallas via Paris,Economy Class,2,4,4,2,1,1,no
charges more but offers less,Sue Cao,2019-11-02,Air France,False," Paris to Calgary. My return flight from Paris was supposed to be 5pm. However, 10:45 am someone called from Air France saying the flight was cancelled (regular business practice to save money) she only gave me an hour and half which was not enough to go through security and tax refund. So I called back and she gave me another flight one hour later but kinda threatened me that it was the last flight they offered. I thought that was rude since they are the one that cancelled the flight. Long story short I just had enough time to get on the plane. This airline charges more but offers less service which is not right",Solo Leisure,September 2019,Bucharest to Zurich via Paris CDG,Economy Class,1,1,1,4,1,2,no
Good inflight catering,David Gartside,2019-10-27,Air France,True,"  Manchester to Tbilisi via Paris and return. A320 Economy. Both MAN - CDG legs on time with modest but OK snack. CDG - TBS delayed because of problems with starboard rear door. Captain kept us well-informed throughout, before eventual transfer to another aircraft. Good inflight catering. Good customer handling of delay. Seat allocations maintained and luggage made the transfer as well. TBS - CDG delayed departure because of ATC problems but time made up en route. Good breakfast - a bonus because France isn't a great breakfast country by and large!",Couple Leisure,October 2019,Mexico City to Paris,Economy Class,2,5,3,5,3,8,yes
acted so slow and carelessly,S Parthas,2019-10-23,Air France,True,"  Aberdeen to Dallas via Paris. The flight from Aberdeen eas late and I missed the connecting flight so they put me on another connecting flight via New York. The whole trip took about 24 hours instead of 12 hours. The bad part is I was travelling with my 3 years old daughter, i can’t explain the torture i had to go through during the trip.The worst part of trip was Air France lost my baggage which had all my custom made dresses which I had specially made for my nephew’s ceremony. It’s been already 4 days, tomorrow is ceremony and Air France has no idea where my baggage is. I have called Air France more than 20 times and visited their office 2 times in DFW airport but still they don’t have any clue in which city or airport my baggage is. The Air France staff have acted so slow and carelessly, it has shocked me.",Family Leisure,October 2019,New York to Belgrade via Paris,Economy Class,5,3,4,1,1,1,no
Onboard service very good,T Veane,2019-10-22,Air France,True,"  Bucharest to Zurich via Paris CDG. Air France is surprising me lately! Functioning like a clockwork. Both flights leaving at time and arriving early! Onboard service very good, very helpful crews. Only minus was the seat in the A318, on the second leg, which has a fix/blocked back. Sitting on the emergency row, so very good seat pitch. Highly recommended!",Solo Leisure,October 2019,Paris to Nice,Economy Class,5,4,1,1,4,8,yes
food quality was terrible for me,Jennifer Ribeiro,2019-10-19,Air France,False,"  Mexico City to Paris. Rude staff and the food quality was terrible for me. Flight without wifi despite advertising that this service was provided.  It was extremely cold and no alcohol apart from wine and beer. Departure from Paris with 90 minutes delay and I had to travel away from my partner due to their  rules to make people pay even more. At the return, I forgot my phone in the toilet of the airport of Cancun and realised that I missed it when I was already in the aircraft but still on the ground waiting for the departure. I asked the staff to let me go quickly and come back as people was still boarding the plane and they said no and added that as it was Mexico, I could forget my phone and declare my loss when I will arrive in Paris. As it turned out my phone was found and returned to my home address. ",Couple Leisure,October 2019,Atlanta to Paris via Marseille,Economy Class,5,1,1,3,1,2,no
miss my connection flight,Ivan Stepanovic,2019-10-19,Air France,True,"  New York to Belgrade via Paris. My flight from JFK was 95 mins late and I miss my connection flight. Then I don't have direct connection flight and I end up arriving in Belgrade 10 h late. Not to mention lost luggage, poor service both on the airplane and at the airport, small non-working screens on a flight. I will never use Air France ever!",Solo Leisure,October 2019,Rome to Paris,Economy Class,1,4,1,2,1,1,no
not refunded my money,M Garven,2019-10-18,Air France,True,  Paris to Nice. On my way to Nice I paid for a luggage 80€ and in Nice I didn’t receive this luggage. At the airport the air France staff in the office informed me that I’m entitled for refund. So I make a claim and never received this money. On the time of the claim i did not receive one phone call or email. I had to call and send email always. On top of all this I was not refunded my money back.,Family Leisure,August 2019,Florence to Paris,Economy Class,4,5,5,4,1,2,no
My issue is with the baggage policy,Leneta Kindrick,2019-10-15,Air France,False,"  First, the flight, food and service were great. My issue is with the baggage policy. We flew business class from Atlanta to CDG, then had an internal France flight to Marseille. We returned on a flight from Lyon to CDG, then business class from CDG to Atlanta. Business class was not offered on the internal France flights. Business class is allowed 2 checked bags. This wasn't a problem on the outbound trip. On our return we had to pay excess baggage fees because the first leg of our flight was economy and we were only allowed 1 bag each. Multiple calls to AF customer service indicates this is their policy. The originating leg dictates the baggage allowance. So be aware even if you fly business class if one of your legs doesn't offer that level, you don't get the full benefits of business class.",Couple Leisure,October 2019,Paris CDG to New York JFK,Business Class,1,5,3,5,5,6,no
Connection in Paris  horrendous,G Han,2019-10-13,Air France,True,"  Rome to Paris. It was my first time flying with Air France and the first impression I got after being boarded was the yellowed up plastic around the old screen panel on the back of the seats.  The in-flight entertainment on the A380 was disastrous. To give the impression that they have more movies to offer, a movie with 4 languages would be displayed as 4 movies; touch screen was extremely non-touch-sensitive; screen pivot was broken. The saving grace was that I managed to get some sleep in the air. Air France booked a 75 min transfer for us, and thanks to landing 20 minutes early, we managed to board on time for our connecting to Rome. On our trip back at Rome, ground staff assistance was non-existent, the pre-checked-in queue for bag drop was slower than the normal check-in+bag-drop queue. A queue of 4 parties spent almost an hour moving down the line, I was only moved to the front during last call for check-in...I arrived 2 hours before scheduled departure. Connection in Paris CDG was horrendous, the moment we landed, we had to rush out of the plane, rush to a shuttle to take us to the transit area. It was the longest queue I have seen at an airport passport control. We snuck into a priority queue and went to the front. Alas, after clearance, we had to wait for a shuttle to get to another terminal. At this point, we were almost sure we would miss the flight. Disembarking the shuttle bus, we rushed to the terminal lobby and luckily managed to find our way to our boarding gate at last call. We were so glad Air France booked us on China Eastern. ",Couple Leisure,October 2019,New York to Paris,Economy Class,2,5,4,2,1,1,no
shown no understanding,A Melini,2019-10-10,Air France,True,"  There was a delay from Florence to Paris so we were denied boarding on our connection flight though we arrived at the time of the last call. It took a 2 hrs to find our luggage. We were given very poor accommodation for a family outside CDG airport. We were booked on next day flight with the British Airways. They charged us for the luggage which was already paid for with Air France, because they failed to pass the details to the BA. After almost a month of correspondence and emails AF had decided to pay us only £27.40 rather the 75 Euros charged for our luggage. AF has shown no understanding and they evaded all the issues raised in a complaint against them. ",Family Leisure,September 2019,Paris CDG to Lyon,Economy Class,5,5,5,3,1,1,no
